College,Average All Pay,Average Professor,Associate Professor,Assistant Professor,Lecturer,City
Albertus Magnus College,68409,79533,67059,55809,,New Haven
Asnuntuck Community College,62190,80280,57159,48546,45315,Enfield
Capital Community College,63225,76905,60282,52884,48195,Hartford
Central Connecticut State University,76617,89910,72387,58544,52344,New Britain
Connecticut College,86166,111186,81639,69048,63000,New London
Eastern Connecticut State University,72819,86139,69408,56151,48357,Willimantic
Fairfield University,91926,117171,87516,74133,75015,Fairfield
Gateway Community College,69966,80478,61794,52767,52884,New Haven
Hartford Seminary,54387,62613,60264,47322,30987,Hartford
Holy Apostles College & Sem,29331,32139,38691,40095,10647,Cromwell
Housatonic Community College,55485,75825,52884,46818,26892,Bridgeport
Lincoln College New England,50733,52524,57177,41031,,Southington
LymeAcademy College Fine Arts,33813,34038,32436,,,Old Lyme
Manchester Community College,67077,78345,57897,50751,44955,Manchester
Middlesex Community College,65889,76995,58788,50913,44226,Middletown
Mitchell College,67212,78183,68481,63180,,New London
Naugatuck Valley Community College,72864,84456,67599,58977,50355,Waterbury
Northwestern Connecticut Community College,63468,77499,65205,52389,44226,Winsted
Norwalk Community College,66393,73368,60903,50121,44955,Norwalk
Post University,66060,85113,70002,,64656,Waterbury
Quinebaug Valley Community College,60741,76167,44928,56574,50760,Danielson
Quinnipiac University,77841,102699,79263,62379,39708,Hamden
Rensselaer-Hartford,105525,105669,,,104697,Hartford
Sacred Heart University,76194,109089,83466,67824,52551,Fairfield
Southern Connecticut State University,74862,88263,72054,58140,48969,New Haven
St. Vincent's College,55053,,60183,52065,,Bridgeport
Three Rivers Community College,62460,74916,60975,51201,48042,Norwich
Trinity College,97956,118035,99189,76824,86904,Hartford
Tunxis Community College,67311,78246,58887,50013,51795,Farmington
University of Bridgeport,64440,79767,67914,54342,60507,Bridgeport
University of Connecticut,104193,140652,95625,77373,74187,Storrs
University of Hartford,73602,89766,72765,61920,63936,West Hartford
University of New Haven,84663,110907,93627,73836,60003,West Haven
University of Saint Joseph,73737,91350,77058,67536,46791,West Hartford
US Coast Guard Academy,106668,107253,80388,75924,53739,New London
Wesleyan University,100467,136314,93276,79209,72765,Middletown
Western Connecticut State University,78408,92772,71955,61218,51210,Danbury
Yale University,144378,192546,117288,95499,77697,New Haven
